+====================+===================+=====================================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                                 |
+====================+===================+=====================================================================+
| clk_50mhz          | clk_50mhz         | rv64im72f_5sp/data_memory/memory_reg_3584_3839_25_25/RAMS64E_C/ADR0 |
| clk_50mhz          | clk_50mhz         | rv64im72f_5sp/data_memory/memory_reg_3584_3839_25_25/RAMS64E_D/ADR0 |
| clk_50mhz          | clk_50mhz         | rv64im72f_5sp/data_memory/memory_reg_3584_3839_25_25/RAMS64E_B/ADR0 |
| clk_50mhz          | clk_50mhz         | rv64im72f_5sp/data_memory/memory_reg_3584_3839_25_25/RAMS64E_A/ADR0 |
| clk_50mhz          | clk_50mhz         | rv64im72f_5sp/data_memory/memory_reg_3328_3583_53_53/RAMS64E_A/ADR2 |
| clk_50mhz          | clk_50mhz         | rv64im72f_5sp/data_memory/memory_reg_3328_3583_53_53/RAMS64E_B/ADR2 |
| clk_50mhz          | clk_50mhz         | rv64im72f_5sp/data_memory/memory_reg_3840_4095_45_45/RAMS64E_C/ADR0 |
| clk_50mhz          | clk_50mhz         | rv64im72f_5sp/data_memory/memory_reg_7936_8191_24_24/RAMS64E_A/ADR1 |
| clk_50mhz          | clk_50mhz         | rv64im72f_5sp/data_memory/memory_reg_3840_4095_45_45/RAMS64E_D/ADR0 |
| clk_50mhz          | clk_50mhz         | rv64im72f_5sp/data_memory/memory_reg_7936_8191_24_24/RAMS64E_B/ADR1 |
| clk_50mhz          | clk_50mhz         | rv64im72f_5sp/data_memory/memory_reg_1792_2047_31_31/RAMS64E_C/ADR5 |
| clk_50mhz          | clk_50mhz         | rv64im72f_5sp/data_memory/memory_reg_2816_3071_14_14/RAMS64E_C/ADR4 |
| clk_50mhz          | clk_50mhz         | rv64im72f_5sp/data_memory/memory_reg_3840_4095_45_45/RAMS64E_A/ADR0 |
| clk_50mhz          | clk_50mhz         | rv64im72f_5sp/data_memory/memory_reg_2816_3071_14_14/RAMS64E_D/ADR4 |
| clk_50mhz          | clk_50mhz         | rv64im72f_5sp/data_memory/memory_reg_3840_4095_45_45/RAMS64E_B/ADR0 |
| clk_50mhz          | clk_50mhz         | rv64im72f_5sp/data_memory/memory_reg_1792_2047_31_31/RAMS64E_D/ADR5 |
| clk_50mhz          | clk_50mhz         | rv64im72f_5sp/data_memory/memory_reg_5632_5887_1_1/RAMS64E_C/ADR0   |
| clk_50mhz          | clk_50mhz         | rv64im72f_5sp/data_memory/memory_reg_1792_2047_31_31/RAMS64E_A/ADR5 |
| clk_50mhz          | clk_50mhz         | rv64im72f_5sp/data_memory/memory_reg_1792_2047_31_31/RAMS64E_B/ADR5 |
| clk_50mhz          | clk_50mhz         | rv64im72f_5sp/data_memory/memory_reg_2816_3071_14_14/RAMS64E_A/ADR4 |
| clk_50mhz          | clk_50mhz         | rv64im72f_5sp/data_memory/memory_reg_2816_3071_14_14/RAMS64E_B/ADR4 |
| clk_50mhz          | clk_50mhz         | rv64im72f_5sp/data_memory/memory_reg_3328_3583_53_53/RAMS64E_C/ADR2 |
| clk_50mhz          | clk_50mhz         | rv64im72f_5sp/data_memory/memory_reg_7936_8191_24_24/RAMS64E_C/ADR1 |
| clk_50mhz          | clk_50mhz         | rv64im72f_5sp/data_memory/memory_reg_3328_3583_53_53/RAMS64E_D/ADR2 |
| clk_50mhz          | clk_50mhz         | rv64im72f_5sp/data_memory/memory_reg_1792_2047_9_9/RAMS64E_C/ADR1   |
| clk_50mhz          | clk_50mhz         | rv64im72f_5sp/data_memory/memory_reg_3584_3839_34_34/RAMS64E_C/ADR0 |
