+====================+===================+=====================================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                                 |
+====================+===================+=====================================================================+
| clk_50mhz          | clk_50mhz         | rv64im72f_6sp/data_memory/memory_reg_5376_5631_17_17/RAMS64E_C/ADR2 |
| clk_50mhz          | clk_50mhz         | rv64im72f_6sp/data_memory/memory_reg_5376_5631_17_17/RAMS64E_D/ADR2 |
| clk_50mhz          | clk_50mhz         | rv64im72f_6sp/data_memory/memory_reg_5376_5631_17_17/RAMS64E_A/ADR2 |
| clk_50mhz          | clk_50mhz         | rv64im72f_6sp/data_memory/memory_reg_5376_5631_17_17/RAMS64E_B/ADR2 |
| clk_50mhz          | clk_50mhz         | rv64im72f_6sp/data_memory/memory_reg_5888_6143_14_14/RAMS64E_A/ADR1 |
| clk_50mhz          | clk_50mhz         | rv64im72f_6sp/data_memory/memory_reg_5888_6143_14_14/RAMS64E_B/ADR1 |
| clk_50mhz          | clk_50mhz         | rv64im72f_6sp/data_memory/memory_reg_5888_6143_14_14/RAMS64E_A/ADR2 |
| clk_50mhz          | clk_50mhz         | rv64im72f_6sp/data_memory/memory_reg_5888_6143_14_14/RAMS64E_B/ADR2 |
| clk_50mhz          | clk_50mhz         | rv64im72f_6sp/data_memory/memory_reg_5888_6143_54_54/RAMS64E_B/ADR0 |
| clk_50mhz          | clk_50mhz         | rv64im72f_6sp/data_memory/memory_reg_5888_6143_54_54/RAMS64E_A/ADR0 |
| clk_50mhz          | clk_50mhz         | rv64im72f_6sp/data_memory/memory_reg_6656_6911_22_22/RAMS64E_C/ADR0 |
| clk_50mhz          | clk_50mhz         | rv64im72f_6sp/data_memory/memory_reg_6656_6911_22_22/RAMS64E_D/ADR0 |
| clk_50mhz          | clk_50mhz         | rv64im72f_6sp/data_memory/memory_reg_4608_4863_6_6/RAMS64E_C/ADR1   |
| clk_50mhz          | clk_50mhz         | rv64im72f_6sp/data_memory/memory_reg_6656_6911_22_22/RAMS64E_B/ADR0 |
